Month,Day,Time,load,Solar,Wind,Stored,BattIn,BattOut
10,279,13,22.14139655140455,31.512560013968617,26.097600000000007,12.439934457517893,0.0,0.0
10,279,14,22.06712482165043,40.04721168441845,25.5432,12.43993445751789,0.0,0.0
10,279,15,22.57457906472305,20.023605842209225,24.148799999999994,12.43993445751789,0.0,0.0
10,279,16,23.32116334991494,1.6412791673941984,13.540499999999998,12.439934457517888,0.0,8.700571012849538
10,279,17,24.191986597851724,0.0,33.1508,3.7393634446683492,4.419833614763554,0.0
10,279,18,23.98411204269438,0.0,19.948799999999995,8.159197059431904,0.0,4.313535053655143
10,279,19,22.967174186996914,0.0,24.2496,3.8456620057767585,0.0,0.0
10,279,20,21.361671223288813,0.0,40.97540000000001,3.845662005776759,0.0,0.0
10,279,21,19.45919319557893,0.0,45.644400000000005,3.845662005776759,0.0,0.0
10,279,22,17.70581790245073,0.0,49.8625,3.8456620057767594,0.0,0.0
10,279,23,17.30764600873018,0.0,49.8982,3.8456620057767594,0.0,0.0
10,280,0,16.687521807289173,0.0,49.7894,3.8456620057767585,0.0,0.0
10,280,1,16.41449969571885,0.0,49.9441,3.8456620057767585,0.0,0.0
10,280,2,16.377427747993043,0.0,49.7639,3.8456620057767594,0.0,0.0
10,280,3,16.895524196749015,0.0,50.5,3.845662005776759,0.0,0.0
10,280,4,18.40168392812464,0.0,50.5,3.8456620057767585,0.0,0.0
10,280,5,21.094833096102064,0.0,50.5,3.8456620057767585,0.0,0.0
10,280,6,23.23605766302371,5.252093335661436,50.5,3.845662005776758,0.0,0.0
10,280,7,24.158845554927876,2.626046667830718,50.5,3.8456620057767577,0.0,0.0
10,280,8,24.862014115132258,10.17593083784403,50.5,3.845662005776758,0.0,0.0
10,280,9,25.612800953018926,94.40486219964197,50.5,3.845662005776757,0.0,0.0
10,280,10,26.095183693513185,106.55064767908428,50.5,3.845662005776757,0.0,0.0
10,280,11,26.247658057823383,193.8028828538374,50.5,3.845662005776757,0.0,0.0
10,280,12,26.460438254339266,146.2783505766656,50.5,3.8456620057767577,0.0,0.0
10,280,13,26.38915465140615,94.70165608210795,50.5,3.8456620057767568,0.0,0.0
10,280,14,26.295995403457248,38.077676683545405,50.5,3.8456620057767568,0.0,0.0
10,280,15,26.501025645383905,21.993140843082262,50.5,3.845662005776757,0.0,0.0
10,280,16,26.88543937229759,27.45413524236216,50.5,3.845662005776758,0.0,0.0
10,280,17,27.500705870243497,0.0,50.5,3.845662005776757,0.0,0.0
10,280,18,27.319165181401726,0.0,50.5,3.845662005776757,0.0,0.0
