3740360,city??,state??,country??,2013,43.759869,-69.331055,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2019-3-17,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
-16.8,1.01,11.841,300.2,,,,,,
-17.0,1.0,13.437,294.3,,,,,,
-16.8,1.0,13.779,304.4,,,,,,
-16.7,1.0,12.619,301.6,,,,,,
-16.9,1.0,13.694,302.4,,,,,,
-16.9,1.0,11.774,295.9,,,,,,
-16.7,1.0,13.144,299.6,,,,,,
-16.6,1.0,13.135,301.1,,,,,,
-16.4,1.0,12.009,298.7,,,,,,
-16.2,1.0,12.329,299.0,,,,,,
-16.0,1.0,13.004,300.5,,,,,,
-15.7,1.0,12.146,300.7,,,,,,
-15.1,1.0,11.307,299.3,,,,,,
-14.1,1.0,10.144,297.0,,,,,,
-13.6,1.0,10.569,297.4,,,,,,
-12.9,1.0,10.517,292.3,,,,,,
-12.1,1.0,12.348,293.0,,,,,,
-11.8,1.0,12.897,293.8,,,,,,
-12.0,1.0,11.405,302.3,,,,,,
-12.5,1.0,13.407,301.7,,,,,,
-13.5,1.0,15.213,301.3,,,,,,
-14.2,1.01,12.415,310.4,,,,,,
-14.8,1.01,12.958,304.8,,,,,,
-14.8,1.01,16.065,309.2,,,,,,
-15.3,1.01,13.3,307.7,,,,,,
-15.5,1.01,13.355,310.7,,,,,,
-15.6,1.01,15.513,304.9,,,,,,
-15.5,1.01,13.794,304.2,,,,,,
-15.4,1.01,12.882,301.2,,,,,,
-15.4,1.01,13.504,300.2,,,,,,
-15.3,1.01,11.655,298.3,,,,,,
-14.5,1.01,15.348,304.8,,,,,,
-14.1,1.01,11.322,304.8,,,,,,
-13.6,1.01,12.5,303.3,,,,,,
-13.9,1.01,10.401,301.9,,,,,,
-13.7,1.01,9.326,299.3,,,,,,
-13.0,1.01,7.849,294.1,,,,,,
-11.8,1.01,7.669,306.2,,,,,,
-10.4,1.01,7.028,291.1,,,,,,
-9.8,1.01,10.599,295.7,,,,,,
-8.6,1.01,11.042,291.5,,,,,,
-7.9,1.01,7.324,291.4,,,,,,
-7.7,1.01,10.407,292.7,,,,,,
-7.7,1.01,9.818,290.9,,,,,,
-8.0,1.01,8.551,300.2,,,,,,
-8.5,1.01,8.64,310.0,,,,,,
-9.3,1.01,9.635,324.7,,,,,,
-9.2,1.01,7.474,332.2,,,,,,
-9.0,1.01,5.524,340.7,,,,,,
-8.8,1.01,4.953,344.3,,,,,,
